Date,CSI300,CSI300_SP_FV_SPMO
2007-05-28,4209.385013,4032.242780
2007-05-29,4308.310078,4119.097546
2007-05-30,4017.012920,3831.285241
2007-05-31,4059.896641,3901.004932
2007-06-01,3931.731266,3855.893477
2007-06-04,3629.385013,3591.500576
2007-06-05,3756.723514,3749.400341
2007-06-06,3801.116279,3778.191457
2007-06-07,3930.025840,3895.392235
2007-06-08,3966.790698,3946.060599
2007-06-11,4063.937984,4037.790726
2007-06-12,4171.689922,4111.632141
2007-06-13,4256.609819,4182.490544
2007-06-14,4212.733850,4139.987628
2007-06-15,4237.085271,4152.229859
2007-06-18,4369.581395,4278.402195
2007-06-19,4395.865633,4280.330279
2007-06-20,4297.260982,4194.563213
2007-06-21,4338.273902,4264.024232
2007-06-22,4187.524548,4143.049207
2007-06-25,4007.844961,4013.651169
2007-06-26,4060.165375,4035.451318
2007-06-27,4176.206718,4147.740479
2007-06-28,3988.134367,3973.842001
2007-06-29,3890.521964,3888.673586
2007-07-02,3883.886305,3856.189782
2007-07-03,3960.961240,3931.503139
2007-07-04,3869.333333,3865.280018
2007-07-05,3656.268734,3699.899852
2007-07-06,3834.914729,3883.504238
2007-07-09,3949.664083,4008.034787
2007-07-10,3902.449612,4013.948011
2007-07-11,3917.178295,4007.257135
2007-07-12,3945.136951,4037.285247
2007-07-13,3948.444444,4032.643211
2007-07-16,3822.191214,3888.899706
2007-07-17,3916.950904,4024.862685
2007-07-18,3935.472868,4034.947252
2007-07-19,3934.883721,4038.781447
2007-07-20,4105.302326,4239.940305
2007-07-23,4296.351421,4436.729602
2007-07-24,4301.136951,4456.204643
2007-07-25,4398.408269,4520.297608
2007-07-26,4447.741602,4593.663890
2007-07-27,4451.824289,4564.304671
2007-07-30,4558.449612,4673.134065
2007-07-31,4610.397933,4715.360678
2007-08-01,4434.604651,4569.885996
2007-08-02,4585.209302,4740.613606
2007-08-03,4752.847545,5011.536309
2007-08-06,4861.994832,5106.811492
2007-08-07,4883.255814,5129.136480
2007-08-08,4824.899225,5100.989446
2007-08-09,4937.767442,5274.404580
2007-08-10,4885.457364,5144.091220
2007-08-13,4879.782946,5091.668346
2007-08-14,4956.661499,5187.775947
2007-08-15,4959.948320,5214.239225
2007-08-16,4880.558140,5129.788554
2007-08-17,4781.994832,5003.027083
2007-08-20,5049.540052,5343.059350
2007-08-21,5139.751938,5455.678299
2007-08-22,5221.385013,5536.276115
2007-08-23,5308.454780,5654.806759
2007-08-24,5392.847545,5723.258433
2007-08-27,5419.276486,5710.320729
2007-08-28,5428.186047,5657.757607
2007-08-29,5345.550388,5558.360500
2007-08-30,5417.291990,5627.068818
2007-08-31,5474.739018,5660.809311
2007-09-03,5601.209302,5751.876357
2007-09-04,5540.392765,5675.009062
2007-09-05,5543.410853,5636.093358
2007-09-06,5593.839793,5674.512771
2007-09-07,5472.661499,5517.053370
2007-09-10,5557.850129,5585.716179
2007-09-11,5296.217054,5313.501249
2007-09-12,5377.633075,5368.200860
2007-09-13,5529.684755,5529.606653
2007-09-14,5578.583979,5571.346826
2007-09-17,5683.627907,5627.379524
2007-09-18,5660.816537,5560.500717
2007-09-19,5601.312661,5480.772892
2007-09-20,5679.503876,5544.233334
2007-09-21,5651.782946,5521.292093
2007-09-24,5699.121447,5622.899793
2007-09-25,5637.850129,5595.363891
2007-09-26,5541.105943,5531.033271
2007-09-27,5609.984496,5581.236593
2007-09-28,5768.279070,5748.013589
2007-10-08,5843.038760,5940.193348
2007-10-09,5866.594315,5932.477817
2007-10-10,5876.754522,5922.551392
2007-10-11,5953.571059,6015.030737
2007-10-12,5929.943152,5969.830152
2007-10-15,6017.002584,5968.224775
2007-10-16,6074.625323,6107.975235
2007-10-17,6019.762274,6022.953237
2007-10-18,5804.392765,5832.148476
2007-10-19,5802.645995,5873.431132
2007-10-22,5656.516796,5802.889205
2007-10-23,5726.191214,5861.354592
2007-10-24,5775.720930,5949.624024
2007-10-25,5512.961240,5789.730459
2007-10-26,5576.031008,5941.803704
2007-10-29,5693.395349,6019.206261
2007-10-30,5784.051680,6082.834409
2007-10-31,5879.627907,6234.407389
2007-11-01,5793.519380,6159.473313
2007-11-02,5656.775194,6035.295815
2007-11-05,5540.372093,5810.633284
2007-11-06,5496.175711,5796.327785
2007-11-07,5530.366925,5845.421127
2007-11-08,5264.775194,5543.051280
2007-11-09,5209.850129,5472.460054
2007-11-12,5145.478036,5486.750970
2007-11-13,5105.157623,5375.543465
2007-11-14,5318.749354,5577.461452
2007-11-15,5251.793282,5517.407390
2007-11-16,5175.875969,5398.423508
2007-11-19,5162.191214,5305.135571
2007-11-20,5239.669251,5383.011056
2007-11-21,5165.498708,5312.892111
2007-11-22,4932.940568,5046.074135
2007-11-23,5019.286822,5144.324081
2007-11-26,4961.322997,5074.746466
