Date,Open,High,Low,Close,Volume
2023-04-26,5014.4453,5103.0511,4918.4057,5017.3012,
2023-04-27,5007.3108,5136.7604,4942.5421,5081.8951,
2023-04-28,5079.8902,5188.9921,5024.1207,5127.2524,
2023-05-04,5108.1513,5284.1282,5009.0282,5197.0962,
2023-05-05,5192.4799,5286.3343,5099.1701,5176.3712,
2023-05-08,5183.5028,5403.0780,5141.9285,5332.6522,
2023-05-09,5353.0910,5455.6052,5237.5669,5288.9154,
2023-05-10,5268.9690,5335.4346,5126.8824,5204.4532,
2023-05-11,5202.9668,5298.8834,5117.1099,5180.8934,
2023-05-12,5174.6073,5243.3427,5078.2512,5127.5394,
2023-05-15,5114.1673,5263.5742,5022.5581,5230.0237,
2023-05-16,5223.0492,5312.3057,5150.1231,5203.0180,
2023-05-17,5180.9662,5225.6052,5081.3890,5155.4805,
2023-05-18,5159.8343,5274.3836,5117.9795,5194.6508,
2023-05-19,5176.1275,5245.7509,5098.0625,5173.6800,
2023-05-22,5167.4268,5279.2015,5113.1088,5197.3559,
2023-05-23,5195.8127,5238.6243,5089.6963,5100.2782,
2023-05-24,5080.3188,5116.2589,4968.9546,4999.0983,
2023-05-25,4984.0944,5031.5923,4903.5843,4980.8253,
2023-05-26,4968.2823,5044.5725,4883.3507,4966.4959,
2023-05-29,4977.0632,5057.4859,4895.5437,4979.1604,
2023-05-30,4967.0616,5056.2339,4894.0007,4976.4408,
2023-05-31,4949.3809,4984.8569,4845.6938,4895.5219,
2023-06-01,4891.3779,4996.2164,4844.5067,4922.1841,
2023-06-02,4936.5925,5011.7462,4894.9287,4967.0708,
2023-06-05,4963.3724,5029.1865,4894.8100,4958.6725,
2023-06-06,4955.2875,5059.6051,4886.4136,4940.1544,
2023-06-07,4944.0704,4999.0036,4874.4658,4915.6670,
2023-06-08,4916.2764,5016.0375,4868.5230,4974.1002,
2023-06-09,4976.9973,5059.4500,4914.1275,5000.1805,
2023-06-12,4973.7812,5072.6850,4901.9136,4992.6769,
2023-06-13,4982.2441,5041.5422,4925.5815,4993.2275,
2023-06-14,5001.9095,5083.5307,4955.2337,5000.5477,
2023-06-15,5012.1204,5102.1450,4944.1145,5048.3140,
